key,mode,direction,target,magnitude_cm,realised_mm_mean,realised_mm_max,peak_rel_err_median,peak_rel_err_p90,channel_rel_err_median,channel_rel_err_p90,rdm_median,rdm_p90,lnmag_median,abs_lnmag_p90,d_asymmetry_median,d_asymmetry_p90,d_asymmetry_max,loc_err_median_mm,loc_err_p90_mm,loc_err_mean_mm
single|O1|90|0.855,single,90deg,O1,0.855,0.44771459805335934,8.506577363013827,0.02469931348724482,0.07781498429496296,0.02469931348724482,0.07781498429496296,0.0131420000504705,0.04431135544734508,3.995154485074995e-05,0.014745745574617731,0.0029305954145339777,0.030285987922612556,1.0367228289912236,0.0,0.0,0.18177931290269916
single|O1|90|0.938,single,90deg,O1,0.938,0.4908977085741985,9.327056462909772,0.027038721309496506,0.08515474976888537,0.027038721309496506,0.08515474976888537,0.01440628245192621,0.04861789470175022,4.226332443877311e-05,0.01623942538196426,0.0032070372902689714,0.03310910076170499,1.129149873649605,0.0,0.0,0.253907703384554
single|O1|90|1.5,single,90deg,O1,1.5,0.7749351209130817,14.723767297348552,0.0423562804781655,0.133619656553294,0.0423562804781655,0.133619656553294,0.02259977307751216,0.07567527367822288,4.866486043958225e-05,0.02577450445628065,0.005020738342741249,0.05122909831960514,1.5353101214264626,0.0,0.0,0.6028292279098079
single|O1|90|2.0,single,90deg,O1,2.0,1.028209349570168,19.535977641833195,0.05658187598256649,0.1757159845921111,0.05658187598256649,0.1757159845921111,0.03011947288668954,0.1004336370924311,2.0301343783982125e-05,0.0354077159330934,0.006652563468222739,0.0673342241091742,1.927426143328634,0.0,1.8442194677498043,1.0438712666058676
single|O1|135|0.25,single,135deg,O1,0.25,0.1315789473684208,2.499999999999995,0.005234617713159712,0.017771066304924508,0.005234617713159712,0.017771066304924508,0.0027983717060773568,0.010343030014249056,-3.5409491833657656e-05,0.003476932299281181,0.0006094054716646036,0.006710060442853494,0.5376043199694654,0.0,0.0,0.0
single|O1|135|0.5,single,135deg,O1,0.5,0.26288551107399755,4.994824710405953,0.010415609204590759,0.0352772321224723,0.010415609204590759,0.0352772321224723,0.005535580631069632,0.02057458973232329,-8.189558892440077e-05,0.006972015458279685,0.00120681532178947,0.013261063898906023,0.8051634048779422,0.0,0.0,0.05702941705052541
single|O1|135|0.855,single,135deg,O1,0.855,0.4490618017704456,8.532174233638466,0.017582024363638468,0.0596390876476561,0.017582024363638468,0.0596390876476561,0.009274363427013363,0.03472438160959979,-0.000168486846022282,0.011766454903245474,0.0020330021817759336,0.022291266647819635,1.585102972340291,0.0,0.0,0.1347204321250747
single|O1|135|0.938,single,135deg,O1,0.938,0.4926091485361901,9.359573822187611,0.019230883757162413,0.06513211450748181,0.019230883757162413,0.06513211450748181,0.010151430284075804,0.037972774049593934,-0.00018904018044660023,0.01292296892560541,0.002226949709190601,0.02439506968549876,1.181343426798763,0.0,0.0,0.16935418002752628
single|O1|135|1.5,single,135deg,O1,1.5,0.7820773297657663,14.859469265549558,0.030137518199889735,0.10172890680997435,0.030137518199889735,0.10172890680997435,0.015837568320343255,0.05917896470383611,-0.0003519008616600496,0.020459116397926053,0.00346701850723842,0.03802787325952492,1.695428193186813,0.0,0.0,0.38727720090453777
single|O1|135|2.0,single,135deg,O1,2.0,1.0324092037298087,19.615774870866364,0.039495052400041926,0.13296305490567725,0.039495052400041926,0.13296305490567725,0.020819055794925337,0.07700475791161925,-0.0005272319708375863,0.026600524335285893,0.004507958019703745,0.04943926373144797,1.8696345123645612,0.0,0.0,0.6128898147114643
